repo_id,remote,commit,license,skill_count,agent_yaml_count,python_count,script_count,sample_skills
agentskills_agentskills,agentskills/agentskills,5d4c1fd,Apache-2.0,0,0,11,0,
anthropics_skills,anthropics/skills,3541475,unknown,18,0,72,33,algorithmic-art; brand-guidelines; canvas-design; claude-api; doc-coauthoring; docx; frontend-design; internal-comms; mcp-builder; pdf; pptx; skill-creator
google-deepmind_science-skills,google-deepmind/science-skills,33557e0,Apache-2.0,37,0,63,60,alphafold-database-fetch-and-analyze; alphagenome-single-variant-analysis; chembl-database; clinical-trials-database; clinvar-database; dbsnp-database; embl-ebi-ols; encode-ccres-database; ensembl-database; foldseek-structural-search; gnomad-database; gtex-database
google_skills,google/skills,dae4b19,Apache-2.0,67,22,28,33,data-manager-api-audience-ingestion; data-manager-api-event-ingestion; google-ads-api-mcp-setup; google-ads-api-quickstart; google-mobile-ads-android-migrate-to-next-gen; google-mobile-ads-banner; google-mobile-ads-get-started; google-mobile-ads-interstitial; google-mobile-ads-rewarded; ima-sdk-basics; google-analytics-admin-api-basics; google-analytics-data-api-basics
huggingface_skills,huggingface/skills,35e8c35,Apache-2.0,20,7,41,40,hf-mcp; hf-cli; hf-mem; huggingface-best; huggingface-community-evals; huggingface-datasets; huggingface-gradio; huggingface-llm-trainer; huggingface-local-models; huggingface-lora-space-builder; huggingface-paper-publisher; huggingface-papers
learningmatter-mit_AtomisticSkills,learningmatter-mit/AtomisticSkills,ca695e1,MIT,127,55,349,198,chem-bond-dissociation; chem-conformer-search; chem-db-mof; chem-db-qmof; chem-db-spectra; chem-dft-orca-advanced-calculation; chem-dft-orca-optimization; chem-dft-orca-singlepoint; chem-docking-void; chem-hazard-toxicity; chem-irc-verification; chem-msms-predict
mattpocock_skills,mattpocock/skills,43ea088,MIT,36,1,0,4,design-an-interface; qa; request-refactor-plan; ubiquitous-language; ask-matt; codebase-design; diagnosing-bugs; domain-modeling; grill-with-docs; implement; improve-codebase-architecture; prototype
muratcankoylan_Agent-Skills-for-Context-Engineering,muratcankoylan/Agent-Skills-for-Context-Engineering,175cee7,MIT,21,5,49,34,context-engineering-collection; book-sft-pipeline; digital-brain; reasoning-trace-optimizer; comprehensive-research-agent; advanced-evaluation; bdi-mental-states; context-compression; context-degradation; context-fundamentals; context-optimization; evaluation
obra_superpowers,obra/superpowers,896224c,MIT,14,3,1,11,brainstorming; dispatching-parallel-agents; executing-plans; finishing-a-development-branch; receiving-code-review; requesting-code-review; subagent-driven-development; systematic-debugging; test-driven-development; using-git-worktrees; using-superpowers; verification-before-completion
openai_skills,openai/skills,49f948f,unknown,44,57,42,51,aspnet-core; chatgpt-apps; cli-creator; cloudflare-deploy; define-goal; figma; figma-code-connect-components; figma-create-design-system-rules; figma-create-new-file; figma-generate-design; figma-generate-library; figma-implement-design
