target_path	local_commits	current_state	source_id	upstream_ref	upstream_path	decision	derivation	vendored	license	obligation	review_evidence
.codex/skills/pathway-network-analysis/references/pathway-network-decision-matrix.md	e649474,875cb4a	current	clawbio;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/pathway-enricher/SKILL.md;gptomics=pathway-analysis/reactome-pathways/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific matrix review
.codex/skills/project-environment-bootstrap/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal machine-overlay contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/project-guide-maintainer/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal project hot-context contract	no	project-owned	none	baseline pilot and package validator pass
.codex/skills/protein-docking-drug-discovery/SKILL.md	a2f35f4,e4ee03a	tombstone	bionemo;adaptyv;atomistic	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;adaptyv=59dd63374314baa2fb1f9864f190775bd7466647;atomistic=ca695e1b89ea48613291c88bd8c73e71af2025c7	bionemo=nim-skills/meta-skills/drug-discovery-pipeline/SKILL.md;adaptyv=skills/alphafold/SKILL.md;atomistic=.agents/skills/drug-docking-vina/SKILL.md	split	mechanism-only independently rewritten then removed	no	CC-BY-4.0;MIT	conservative attribution in THIRD_PARTY_NOTICES.md and tombstone retained here	replaced by protein-structure-docking and drug-discovery-admet-screening
.codex/skills/protein-docking-drug-discovery/agents/openai.yaml	a2f35f4,e4ee03a	tombstone	project-owned	n/a	n/a	remove	internal-only discovery metadata removed with split	no	project-owned	none	tombstone retained here
.codex/skills/protein-docking-drug-discovery/references/docking-tool-decision-matrix.md	a2f35f4,e4ee03a	tombstone	bionemo;adaptyv;atomistic	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;adaptyv=59dd63374314baa2fb1f9864f190775bd7466647;atomistic=ca695e1b89ea48613291c88bd8c73e71af2025c7	bionemo=nim-skills/diffdock-nim/SKILL.md;adaptyv=skills/bindcraft/SKILL.md;atomistic=.agents/skills/drug-docking-vina/SKILL.md	split	mechanism-only independently rewritten then removed	no	CC-BY-4.0;MIT	conservative attribution in THIRD_PARTY_NOTICES.md and tombstone retained here	replaced by two domain-specific references
.codex/skills/protein-structure-docking/SKILL.md	e4ee03a,875cb4a	current	bionemo;adaptyv;atomistic	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;adaptyv=59dd63374314baa2fb1f9864f190775bd7466647;atomistic=ca695e1b89ea48613291c88bd8c73e71af2025c7	bionemo=nim-skills/diffdock-nim/SKILL.md;adaptyv=skills/alphafold/SKILL.md;atomistic=.agents/skills/drug-docking-vina/SKILL.md	split	mechanism-only independently rewritten	no	CC-BY-4.0;MIT	conservative attribution and change statement in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines for all three exact paths
.codex/skills/protein-structure-docking/agents/openai.yaml	e4ee03a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/protein-structure-docking/references/structure-docking-tool-matrix.md	e4ee03a	current	bionemo;adaptyv;atomistic	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;adaptyv=59dd63374314baa2fb1f9864f190775bd7466647;atomistic=ca695e1b89ea48613291c88bd8c73e71af2025c7	bionemo=nim-skills/diffdock-nim/SKILL.md;adaptyv=skills/bindcraft/SKILL.md;atomistic=.agents/skills/drug-docking-vina/SKILL.md	keep	mechanism-only independently rewritten	no	CC-BY-4.0;MIT	conservative attribution and change statement in THIRD_PARTY_NOTICES.md	manual package-specific matrix review
.codex/skills/publication-plotting/SKILL.md	e4ee03a,875cb4a	current	project-owned	n/a	n/a	keep	internal publication figure contract and router	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/publication-plotting/references/omics-figure-qa.md	875cb4a	current	clawbio;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/rnaseq-de/SKILL.md;gptomics=single-cell/cell-communication/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual current-text review
.codex/skills/research-data-organization/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal CCDS and artifact-layout contract	no	project-owned	none	baseline pilot and package validator pass
.codex/skills/research-decision-review/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal user-decision ownership contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/research-project-planner/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal research-planning contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/research-question-brief/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal research-question contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/reviewer-response-builder/SKILL.md	e4ee03a,875cb4a	current	project-owned	n/a	n/a	keep	internal reviewer-response contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/reviewer-simulation/SKILL.md	e4ee03a,875cb4a	current	project-owned	n/a	n/a	keep	internal reviewer-risk contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/rnaseq-singlecell-workflow/SKILL.md	e649474,875cb4a	current	clawbio;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/nfcore-rnaseq-wrapper/SKILL.md;clawbio=skills/scrna-orchestrator/SKILL.md;clawbio=skills/rnaseq-de/SKILL.md;gptomics=single-cell/cell-communication/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines across four pairs
.codex/skills/rnaseq-singlecell-workflow/agents/openai.yaml	e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/rnaseq-singlecell-workflow/references/rnaseq-singlecell-decision-matrix.md	e649474,875cb4a	current	clawbio;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/nfcore-rnaseq-wrapper/SKILL.md;gptomics=single-cell/cell-communication/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific matrix review
.codex/skills/scientific-database-grounding/SKILL.md	a2f35f4,e4ee03a,875cb4a	current	science-skills;clawbio;gptomics	science-skills=33557e0f1faf0f281d255940de58935c61b2143b;clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	science-skills=skills/clinical_trials_database/SKILL.md;clawbio=skills/gwas-lookup/SKILL.md;gptomics=database-access/uniprot-access/SKILL.md	keep	mechanism-only independently rewritten	no	Apache-2.0;MIT	conservative attribution in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines for exact science-skills path
.codex/skills/scientific-database-grounding/agents/openai.yaml	a2f35f4	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/scientific-database-grounding/references/database-query-contract.md	875cb4a	current	science-skills;clawbio	science-skills=33557e0f1faf0f281d255940de58935c61b2143b;clawbio=fbb0910761ab12a9a403060d04248e155b862437	science-skills=skills/clinical_trials_database/SKILL.md;clawbio=skills/gwas-lookup/SKILL.md	keep	mechanism-only independently rewritten	no	Apache-2.0;MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific query-contract review
.codex/skills/scientific-database-grounding/references/database-source-map.md	a2f35f4	current	science-skills;clawbio;gptomics	science-skills=33557e0f1faf0f281d255940de58935c61b2143b;clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	science-skills=skills/clinical_trials_database/SKILL.md;clawbio=skills/gwas-lookup/SKILL.md;gptomics=database-access/uniprot-access/SKILL.md	keep	mechanism-only independently rewritten	no	Apache-2.0;MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual source-map review
.codex/skills/scientific-english-polishing/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal scientific-English contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/scientific-english-translation/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal translation evidence-boundary contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/skill-quality-audit/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal package-governance contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/skill-quality-audit/references/external-skill-absorption-rubric.md	e4ee03a	current	addyosmani;superpowers;context-engineering	addyosmani=aba7c4e9695c363e65cb59effe926c7f1d1abe3d;superpowers=896224c4b1879920ab573417e68fd51d2ccc9072;context-engineering=175cee7c25b5d98d919369f53427c646cdd86d93	addyosmani=skills/code-review-and-quality/SKILL.md;superpowers=skills/requesting-code-review/SKILL.md;context-engineering=skills/context-compression/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific rubric review
.codex/skills/source-data-audit/SKILL.md	e4ee03a,875cb4a	current	project-owned	n/a	n/a	keep	internal source-data traceability contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/submission-readiness-audit/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal submission gate contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/task-self-check/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal bounded self-check contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/validation-strategy-planner/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal validation-planning contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/variant-genomics-interpretation/SKILL.md	e649474,875cb4a	current	clawbio;science-skills;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;science-skills=33557e0f1faf0f281d255940de58935c61b2143b;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/clinical-variant-reporter/SKILL.md;science-skills=skills/clinvar_database/SKILL.md;gptomics=clinical-databases/polygenic-risk/SKILL.md	keep	mechanism-only independently rewritten	no	MIT;Apache-2.0	conservative attribution in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines for three representative pairs
.codex/skills/variant-genomics-interpretation/agents/openai.yaml	e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/variant-genomics-interpretation/references/variant-genomics-evidence-matrix.md	e649474,875cb4a	current	clawbio;science-skills;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;science-skills=33557e0f1faf0f281d255940de58935c61b2143b;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/clinical-variant-reporter/SKILL.md;science-skills=skills/clinvar_database/SKILL.md;gptomics=clinical-databases/polygenic-risk/SKILL.md	keep	mechanism-only independently rewritten	no	MIT;Apache-2.0	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific matrix review
AGENTS.md	a2f35f4,e4ee03a,e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal package operating guidance; no external expression	no	project-owned	none	current two-layer and privacy review
README.md	a2f35f4,e4ee03a,e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal package inventory and install guide; no external expression	no	project-owned	none	current inventory and privacy review
docs/EXTERNAL_TO_EXISTING_SKILL_COMPARISON.md	a2f35f4,e4ee03a	tombstone	historical-audit-corpus	n/a	n/a	compress	internal authored comparison record; no upstream expression retained	no	project-owned	none	content reconstructed into EXTERNAL_SOURCE_PROVENANCE.md
docs/SECOND_ROUND_ABSORPTION_MATRIX.md	e4ee03a	tombstone	historical-audit-corpus	n/a	n/a	compress	internal authored disposition record; no upstream expression retained	no	project-owned	none	dispositions reconstructed into this lineage table
docs/SKILL_CORE_QUESTION_AUDIT.md	e4ee03a	tombstone	historical-audit-corpus	n/a	n/a	compress	internal authored audit record; no upstream expression retained	no	project-owned	none	current Skill core-question validation supersedes it
docs/external-skill-audits/ALL_EXTERNAL_REPOS_STRUCTURE_AUDIT.md	a2f35f4,e4ee03a	tombstone	historical-audit-corpus	n/a	n/a	compress	internal authored inventory report; no upstream expression retained	no	project-owned	none	source registry reconstructed in EXTERNAL_SOURCE_PROVENANCE.md
docs/external-skill-audits/all_external_repos_inventory.csv	a2f35f4	tombstone	historical-audit-corpus	n/a	n/a	compress	internal authored inventory table; no upstream expression retained	no	project-owned	none	source snapshots reconstructed in EXTERNAL_SOURCE_PROVENANCE.md
local_config.yaml	a2f35f4,e4ee03a,e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal package manifest; no external expression	no	project-owned	none	manifest count and privacy validator pass
